College,Year,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF
Loras,2023,"Johnson, Owen",5,5,405:00,8,1.778,18,.692,3,2,0,1,62
Loras,2023,"Krogman, Ben",4,3,300:25,1,.300,8,.889,3,0,0,2,35
Loras,2023,"Roche, Thomas",1,0,14:35,0,.000,0,0.0,0,0,0,0,0
Coe,2023,"Holland, Jr.",8,8,675:00,9,1.200,25,.735,3,5,0,1,88
Coe,2023,"Huerta, Timothy",1,0,45:00,2,4.000,0,0.0,0,0,0,0,5
Simpson,2023,"Nowroozi, Arya",4,4,360:00,6,1.500,10,.625,3,1,0,0,40
Simpson,2023,"Mears, Jackson",1,1,90:00,3,3.000,5,.625,0,1,0,0,12
Simpson,2023,"Trebilcock, Kegan",3,3,270:00,8,2.667,9,.529,1,2,0,0,51
Nebraska Wesleyan,2023,"Weis, Zachary",8,8,705:11,11,1.404,29,.725,3,3,2,2,90
Nebraska Wesleyan,2023,"Rediger, Ryan",1,0,14:49,1,6.074,1,.500,0,0,0,0,2
Central,2023,"Foster, John",6,6,540:00,7,1.167,28,.800,3,3,0,3,81
Central,2023,"Murphy, Ronan",2,2,180:00,3,1.500,9,.750,0,2,0,0,22
Wartburg,2023,"Woody, Brennon",8,8,720:00,3,.375,27,.900,5,1,2,6,80
Dubuque,2023,"Rastock, Christoffer",5,5,450:00,7,1.400,15,.682,3,1,1,2,50
Dubuque,2023,"Marchiori, Matt",3,3,270:00,6,2.000,9,.600,2,1,0,0,34
Luther,2023,"Bell, Jack",7,7,585:37,6,.922,12,.667,3,3,1,1,50
Luther,2023,"Haroldson, Kai",1,0,44:23,0,.000,2,1.000,0,0,0,0,4
Luther,2023,"Olson, Ethan",1,1,90:00,0,.000,0,0.0,1,0,0,1,0
Buena Vista,2023,"Sigler, Zachary",6,4,372:14,10,2.418,35,.778,0,3,0,0,100
Buena Vista,2023,"Fuller, Cody",4,3,265:22,11,3.731,24,.686,0,4,0,0,62
Buena Vista,2023,"Pennington, Tyler",2,1,68:12,4,5.279,7,.636,0,1,0,0,19
Buena Vista,2023,"Thomas, Isaiah",1,0,14:12,3,19.014,2,.400,0,0,0,0,7
