College,Year,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO,SF
Luther,2022,"Bell, Jack",8,8,595:27,7,1.058,9,.563,4,0,3,1,42
Luther,2022,"Haroldson, Kai",3,0,79:33,0,.000,4,1.000,0,0,1,0,10
Luther,2022,"Berg, Casey",1,0,45:00,0,.000,0,0.0,0,0,0,0,0
Simpson,2022,Team,1,0,00:00,0,0.0,0,0.0,0,0,0,1,0
Simpson,2022,Nate Hersom,6,5,495:00,9,1.636,19,.679,1,1,3,1,75
Simpson,2022,William Kopp,3,3,180:00,0,.000,6,1.000,3,0,0,1,11
Simpson,2022,Kegan Trebilcock,1,0,27:44,0,.000,0,0.0,0,0,0,0,0
Simpson,2022,Arya Nowroozi,1,0,17:16,0,.000,0,0.0,0,0,0,0,1
Nebraska Wesleyan,2022,"Weis, Zachary",8,8,720:00,12,1.500,38,.760,4,2,2,3,122
Loras,2022,"Krogman, Ben",7,6,579:53,5,.776,17,.773,4,0,2,4,61
Loras,2022,"Johnson, Owen",2,2,140:07,4,2.569,4,.500,1,1,0,1,22
Dubuque,2022,"Marchiori, Matt",8,7,653:49,5,.688,34,.872,3,2,2,4,98
Dubuque,2022,TEAM,1,0,00:00,0,0.0,3,1.000,0,0,0,0,0
Dubuque,2022,"Sereno, David",1,0,19:10,0,.000,1,1.000,0,0,0,0,1
Dubuque,2022,"Rastock, Christoffer",1,1,47:01,1,1.914,4,.800,0,0,1,0,10
Wartburg,2022,"Woody, Brennon",6,6,540:00,3,.500,20,.870,3,0,3,4,69
Wartburg,2022,"Haugen, Cameron",2,2,180:00,0,.000,6,1.000,0,0,2,2,15
Wartburg,2022,"Baxter, Kaden",0,0,00:00,0,2.000,0,.667,0,0,0,0,0
Central,2022,"Foster, John",8,8,675:00,10,1.333,40,.800,2,5,1,3,96
Central,2022,"Poole, Micah",1,0,45:00,2,4.000,1,.333,0,0,0,0,5
Coe,2022,Team,1,0,00:00,0,0.0,1,1.000,0,0,0,0,0
Coe,2022,"Twight, Maxwell",6,6,495:00,15,2.727,30,.667,0,6,0,0,99
Coe,2022,"Holland, Jr.",3,2,225:00,5,2.000,10,.667,1,1,0,1,37
Buena Vista,2022,"Thomas, Isaiah",4,4,315:00,15,4.286,27,.643,0,4,0,0,78
Buena Vista,2022,"Fuller, Cody",4,4,354:02,18,4.576,26,.591,0,4,0,0,78
Buena Vista,2022,"Pennington, Tyler",2,0,50:58,3,5.298,4,.571,0,0,0,0,16
