College,Year,Player,GP,GS,MIN,G,A,PTS,PTS/G,SH,SH/G,SOG,YC,RC,GW,PK-ATT
Loras,2023,"Miklavcic, Reed",8,8,434:00,7,3,17,2.13,19,2.38,12,2,0,3,"
2-2
"
Loras,2023,"Basinger, Bryan",8,8,665:00,2,1,5,.63,9,1.13,4,0,0,0,"
0-0
"
Loras,2023,"Brandt, Michael",8,8,662:00,2,0,4,.50,5,.63,2,0,0,0,"
0-0
"
Loras,2023,"Lopez, Julian",7,0,158:00,0,2,2,.29,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Howe, Carson",8,0,257:00,1,0,2,.25,8,1.00,4,0,0,0,"
0-0
"
Loras,2023,"Rodriguez, Diego",8,0,130:00,1,0,2,.25,5,.63,2,0,0,0,"
0-0
"
Loras,2023,"Bridson, Cole",8,8,439:00,1,0,2,.25,4,.50,2,0,0,1,"
0-0
"
Loras,2023,"Galiana Torres, Dani",8,8,490:00,1,0,2,.25,19,2.38,8,1,0,1,"
0-0
"
Loras,2023,"Nielson, Matt",8,0,139:00,1,0,2,.25,6,.75,2,0,0,0,"
0-0
"
Loras,2023,"Beausoleil, Alex",8,8,480:00,1,0,2,.25,18,2.25,5,0,0,0,"
1-1
"
Loras,2023,"Bennett, Liam",4,3,240:00,1,0,2,.50,3,.75,3,1,0,1,"
0-0
"
Loras,2023,"Kelly, Ethan",8,8,674:00,0,2,2,.25,4,.50,1,0,0,0,"
0-0
"
Loras,2023,"Koutsopanagos, Michael",8,5,463:00,0,1,1,.13,12,1.50,3,0,0,0,"
0-0
"
Loras,2023,"Woods, Carson",8,0,277:00,0,1,1,.13,3,.38,2,0,0,0,"
0-0
"
Loras,2023,"Ivanuck, Owen",6,3,392:00,0,1,1,.17,7,1.17,1,0,0,0,"
0-0
"
Loras,2023,"Perry, Brant",3,0,32:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Thomas, Zane",1,0,27:00,0,0,0,.00,1,1.00,0,0,0,0,"
0-0
"
Loras,2023,"Koschnik, Collin",1,0,13:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Warfield, Anthony",2,0,19:00,0,0,0,.00,0,.00,0,1,0,0,"
0-0
"
Loras,2023,"van Vilsteren, Merjin",3,0,46:00,0,0,0,.00,1,.33,1,0,0,0,"
0-0
"
Loras,2023,"Haberli, Nathan",7,0,143:00,0,0,0,.00,6,.86,4,1,0,0,"
0-0
"
Loras,2023,"Coleman, Jaxon",8,7,513:00,0,0,0,.00,2,.25,2,1,0,0,"
0-0
"
Loras,2023,"Ruiz, Isaac",1,0,32:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Garcia, Nico",8,6,371:00,0,0,0,.00,1,.13,1,3,0,0,"
0-0
"
Loras,2023,"Karnatz, Andrew",5,0,86:00,0,0,0,.00,2,.40,1,1,0,0,"
0-0
"
Loras,2023,"Vokt, Jack",1,0,18:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Krogman, Ben",4,3,301:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Johnson, Owen",5,5,405:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Loras,2023,"Roche, Thomas",1,0,14:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Kearney, Ian",8,8,626:00,3,1,7,.88,33,4.13,18,1,0,1,"
1-1
"
Coe,2023,"Williams, Jonathan",7,2,319:00,3,0,6,.86,19,2.71,9,1,0,1,"
0-0
"
Coe,2023,"Williams, Kevin",8,6,510:00,1,2,4,.50,8,1.00,3,0,0,0,"
0-0
"
Coe,2023,"Suarez, Juan",8,7,387:00,2,0,4,.50,16,2.00,10,2,0,0,"
0-1
"
Coe,2023,"Eliaquim Braga Farias, Ethan",6,0,71:00,1,0,2,.33,1,.17,1,0,0,0,"
0-0
"
Coe,2023,"Resado, Jack",5,1,155:00,1,0,2,.40,2,.40,1,0,0,1,"
0-0
"
Coe,2023,"Arnold, Jackson",4,3,240:00,0,1,1,.25,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Napieralski, James",8,7,508:00,0,1,1,.13,2,.25,1,3,0,0,"
0-0
"
Coe,2023,"Pena, Sebastian",8,2,391:00,0,1,1,.13,8,1.00,3,2,0,0,"
0-0
"
Coe,2023,"Mungai, Cyrille",4,0,47:00,0,1,1,.25,0,.00,0,1,0,0,"
0-0
"
Coe,2023,"Palmer, Jaden",3,1,91:00,0,0,0,.00,3,1.00,0,1,0,0,"
0-0
"
Coe,2023,"Huerta, Timothy",1,0,45:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Jackel, Isaiah",2,0,30:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Brada, Adam",7,6,488:00,0,0,0,.00,5,.71,1,2,1,0,"
0-0
"
Coe,2023,"Collis, Carter",8,6,509:00,0,0,0,.00,4,.50,0,2,0,0,"
0-0
"
Coe,2023,"Peddicord, Cooper",1,0,33:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Kiesel, Trenton",8,8,601:00,0,0,0,.00,1,.13,0,3,0,0,"
0-0
"
Coe,2023,"McLean, Mateo",1,0,01:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Flores-Lopez, Josue",1,0,07:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Sidhu, Kai",1,0,22:00,0,0,0,.00,1,1.00,0,0,0,0,"
0-0
"
Coe,2023,"Palmer, Jaiden",3,0,47:00,0,0,0,.00,0,.00,0,1,1,0,"
0-0
"
Coe,2023,"Moncada-Echeverria, Harold",3,0,34:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Coe,2023,"Sanchez, Sam",8,3,296:00,0,0,0,.00,3,.38,1,0,0,0,"
0-0
"
Coe,2023,"Ryder, Hudson",8,4,435:00,0,0,0,.00,2,.25,0,0,0,0,"
0-0
"
Coe,2023,"Pagel, Dylan",6,6,449:00,0,0,0,.00,0,.00,0,1,0,0,"
0-0
"
Coe,2023,"Losoya, Alan",2,2,178:00,0,0,0,.00,1,.50,1,1,0,0,"
0-0
"
Coe,2023,"Jungman, Blake",8,8,694:00,0,0,0,.00,5,.63,4,1,0,0,"
0-0
"
Coe,2023,"Holland, Jr.",8,8,675:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Ordaz-Zambrano, Ronaldo",8,8,714:00,6,6,18,2.25,25,3.13,15,0,0,1,"
3-3
"
Simpson,2023,"Kline, Zach",8,7,575:00,2,3,7,.88,18,2.25,6,0,0,0,"
0-0
"
Simpson,2023,"Sedlock, Tim",8,3,365:00,2,2,6,.75,10,1.25,3,1,0,0,"
0-0
"
Simpson,2023,"Russell, Andrew",7,7,512:00,2,1,5,.71,22,3.14,6,3,0,1,"
0-0
"
Simpson,2023,"Hying, Sam",8,8,698:00,2,0,4,.50,3,.38,3,0,0,1,"
0-0
"
Simpson,2023,"Hasken, Matt",8,8,575:00,2,0,4,.50,10,1.25,3,2,0,1,"
0-0
"
Simpson,2023,"Nkomezi, Espoire",7,7,605:00,1,0,2,.29,10,1.43,4,1,0,0,"
0-0
"
Simpson,2023,"Reynolds, Ben",8,8,660:00,1,0,2,.25,2,.25,1,0,0,0,"
0-0
"
Simpson,2023,"Reha, Evan",3,0,26:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Thompson, Nate",2,0,03:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Dingman, Izec",1,0,12:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Aguirre, Alex",4,0,81:00,0,0,0,.00,2,.50,1,0,0,0,"
0-0
"
Simpson,2023,"Larbi, Ethan",1,0,04:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Chavez, Anthony",7,0,113:00,0,0,0,.00,2,.29,1,1,0,0,"
0-0
"
Simpson,2023,"Tinjum, Rogan",8,0,245:00,0,0,0,.00,0,.00,0,2,0,0,"
0-0
"
Simpson,2023,"Schmidt, Eric",8,7,487:00,0,0,0,.00,2,.25,0,0,0,0,"
0-0
"
Simpson,2023,"Mears, Jackson",4,2,140:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Downs, Tate",8,8,714:00,0,0,0,.00,3,.38,3,0,0,0,"
0-0
"
Simpson,2023,"Vander Linden, Doug",3,0,26:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Fratianni, Sal",8,8,720:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Nishemagizwe, Egide",2,0,14:00,0,0,0,.00,1,.50,0,0,0,0,"
0-0
"
Simpson,2023,"Trebilcock, Kegan",3,3,270:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2023,"Nowroozi, Arya",4,4,360:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Kohler, Alex",8,7,458:00,2,2,6,.75,17,2.13,10,1,0,2,"
0-1
"
Nebraska Wesleyan,2023,"Glogowski, Owen",6,3,294:00,3,0,6,1.00,7,1.17,4,2,0,0,"
2-2
"
Nebraska Wesleyan,2023,"Hayes, Jaden",6,4,221:00,2,0,4,.67,7,1.17,5,0,0,1,"
0-0
"
Nebraska Wesleyan,2023,"Miller, Jacob",8,1,175:00,1,0,2,.25,7,.88,2,1,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Aguilar, Alex",8,0,362:00,1,0,2,.25,16,2.00,6,0,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Pisasale, Thomas",8,6,554:00,0,1,1,.13,5,.63,2,1,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Havemeier, Isaac",7,7,545:00,0,1,1,.14,7,1.00,3,2,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Rhodes, Eli",8,8,493:00,0,1,1,.13,3,.38,0,0,0,0,"
0-0
"
Nebraska Wesleyan,2023,"Weis, Zachary",8,8,706:00,0,1,1,.13,0,.00,0,0,0,0,"
0-0
"
