College,Year,Player,GP,GS,MIN,G,A,PTS,PTS/G,SH,SH/G,SOG,YC,RC,GW,PK-ATT
Luther,2022,"Vila, Marcos",8,8,521:00,8,4,20,2.50,28,3.50,19,0,0,2,"
1-1
"
Luther,2022,"Overberg, Will",8,8,461:00,4,6,14,1.75,23,2.88,13,0,0,1,"
0-0
"
Luther,2022,"Oliviera, Luiz",8,0,137:00,3,1,7,.88,6,.75,4,0,0,0,"
0-0
"
Luther,2022,"Figueroa, Luis",8,3,301:00,2,2,6,.75,9,1.13,6,0,0,1,"
0-0
"
Luther,2022,"Ouro-Akondo, Faydane",8,8,458:00,2,1,5,.63,16,2.00,9,2,0,0,"
0-1
"
Luther,2022,"Pastor Valls, Javier",8,8,471:00,1,2,4,.50,25,3.13,9,0,0,0,"
0-0
"
Luther,2022,"Bolte, Ben",8,0,224:00,2,0,4,.50,3,.38,2,0,0,0,"
0-0
"
Luther,2022,"Curvo, Joao",8,0,218:00,1,1,3,.38,8,1.00,4,0,0,0,"
0-0
"
Luther,2022,"Ouro-Akondo, Ramzi",8,8,562:00,1,0,2,.25,4,.50,2,0,0,0,"
0-0
"
Luther,2022,"Alvarez Casaro, Fel",7,0,227:00,1,0,2,.29,7,1.00,2,0,0,0,"
0-0
"
Luther,2022,"Leite, Gian",8,0,174:00,1,0,2,.25,6,.75,3,1,0,0,"
1-1
"
Luther,2022,"Barrett, Danny",5,0,62:00,1,0,2,.40,2,.40,1,0,0,0,"
0-0
"
Luther,2022,"Gimenez, Jose",8,8,548:00,0,1,1,.13,2,.25,1,0,1,0,"
0-0
"
Luther,2022,"Lopez-Barriga, Enrique",4,0,64:00,0,1,1,.25,2,.50,0,0,0,0,"
0-0
"
Luther,2022,"Crisanto, Ricardo",8,0,271:00,0,1,1,.13,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Manzanet, Hernan",8,8,621:00,0,1,1,.13,5,.63,1,0,0,0,"
0-0
"
Luther,2022,"Dörholt, Max",4,0,95:00,0,0,0,.00,1,.25,0,0,0,0,"
0-0
"
Luther,2022,"Niggli, Janik",3,0,58:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Gamballi, Rafael",1,0,12:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Lechner, Lenny",1,0,03:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Ducklow, Ethan",8,5,220:00,0,0,0,.00,5,.63,0,0,0,0,"
0-0
"
Luther,2022,"Zadig, Hugo",4,0,130:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Wake, Caleb",8,1,159:00,0,0,0,.00,2,.25,1,0,0,0,"
0-0
"
Luther,2022,"Nasciemento, Tharles",3,0,34:00,0,0,0,.00,0,.00,0,0,1,0,"
0-0
"
Luther,2022,"Vue, Sam",3,0,34:00,0,0,0,.00,0,.00,0,1,0,0,"
0-0
"
Luther,2022,"Erickson, Carter",3,0,32:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Valentine, William",8,8,433:00,0,0,0,.00,7,.88,0,2,0,0,"
0-0
"
Luther,2022,"Murillo, Jorge",1,0,03:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Wackerfuss, Josh",2,0,21:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Munoz, Javier",2,0,19:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"McFarland, Gavin",4,0,29:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Ferrandez, Raul",7,7,507:00,0,0,0,.00,4,.57,0,1,0,0,"
0-0
"
Luther,2022,"Monteiro, Lucas",3,0,97:00,0,0,0,.00,0,.00,0,1,0,0,"
0-0
"
Luther,2022,"Haroldson, Kai",3,0,78:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Berg, Casey",1,0,45:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Luther,2022,"Bell, Jack",8,8,597:00,0,0,0,.00,0,.00,0,0,0,0,"
0-0
"
Simpson,2022,Baraka Ellie,8,8,625:00,4,2,10,1.25,31,3.88,15,1,0,1,"
1-2
"
Simpson,2022,Ronaldo Ordaz-Zambra,8,8,496:00,4,0,8,1.00,39,4.88,22,1,0,2,"
0-0
"
Simpson,2022,Mateaus Lewis,6,6,322:00,3,1,7,1.17,13,2.17,6,3,1,1,"
0-0
"
Simpson,2022,Matt Hasken,8,7,442:00,3,0,6,.75,15,1.88,8,0,0,0,"
0-0
"
Simpson,2022,Alan Imamovic,8,8,631:00,0,5,5,.63,14,1.75,4,0,0,0,"
0-0
"
Simpson,2022,Roderick Orellana,8,8,691:00,1,2,4,.50,10,1.25,4,2,0,0,"
0-0
"
Simpson,2022,Jackson Mears,8,2,247:00,1,1,3,.38,4,.50,4,0,0,0,"
0-0
"
Simpson,2022,Ethan Larbi,1,0,09:00,1,0,2,2.00,1,1.00,1,0,0,0,"
0-0
"
