Parent Index,Date,Away Team,Away Team Score,Home Team,Home Team Score,Location,Is Final
0,2023-09-01,Augustana (Ill.),0,Simpson,4,"Indianola, Iowa",True
0,2023-09-01,Nebraska Wesleyan,2,Lake Forest,0,"Colorado Springs, Colo.",True
0,2023-09-01,Milwaukee School of Engineering,2,Wartburg,3,"Waverly, Iowa",True
0,2023-09-01,Coe,0,Grinnell,2,"Grinnell, Iowa",True
0,2023-09-01,Cornell,1,Luther,1,"Decorah, Iowa",True
0,2023-09-01,Monmouth,0,Loras,6,"Dubuque, Iowa",True
0,2023-09-01,Bethany Lutheran,3,Buena Vista,0,"Storm Lake, Iowa",True
1,2023-09-02,Concordia (Minn.),2,Dubuque,1,"Dubuque, Iowa",True
1,2023-09-02,Central,2,Westminster (Mo.),0,"Fulton, Mo.",True
2,2023-09-03,Macalester,4,Simpson,2,"Indianola, Iowa",True
2,2023-09-03,Concordia (Minn.),1,Loras,4,"Dubuque, Iowa",True
2,2023-09-03,Nebraska Wesleyan,2,Pacific Lutheran,2,"Colorado Springs, Colo.",True
2,2023-09-03,Wartburg,4,Cornell,0,"Mount Vernon, Iowa",True
2,2023-09-03,Milwaukee School of Engineering,4,Dubuque,0,"Dubuque, Iowa",True
3,2023-09-04,Central,4,Greenville (Ill.),1,"Greenville, Ill.",True
3,2023-09-04,Northland,0,Loras,4,"Dubuque, Iowa",True
4,2023-09-05,St. Scholastica,0,Wartburg,3,"Waverly, Iowa",True
4,2023-09-05,Buena Vista,0,North Central (Minn.),2,"Minneapolis, Minn.",True
4,2023-09-05,Dubuque,3,Grinnell,0,"Grinnell, Iowa",True
4,2023-09-05,Luther,0,Wisconsin-Platteville,3,"Platteville, Wis.",True
5,2023-09-06,Dordt (Iowa),1,Nebraska Wesleyan,2,"Lincoln, Neb.",True
6,2023-09-07,Buena Vista,1,Northwestern (Minn.),1,"St. Paul, Minn.",True
6,2023-09-07,Cornell,1,Coe,1,"Cedar Rapids, Iowa",True
7,2023-09-08,Spurgeon College,1,Coe,8,"Cedar Rapids, Iowa",True
7,2023-09-08,Illinois College,1,Simpson,2,"Indianola, Iowa",True
7,2023-09-08,Westminster (Mo.),0,Nebraska Wesleyan,5,"Lincoln, Neb.",True
7,2023-09-08,Viterbo (Wis.),1,Luther,1,"Decorah, Iowa",True
7,2023-09-08,Gustavus Adolphus,1,Loras,1,"Dubuque, Iowa",True
7,2023-09-08,Saint John's,2,Dubuque,0,"Dubuque, Iowa",True
7,2023-09-08,Macalester,1,Wartburg,1,"Waverly, Iowa",True
8,2023-09-09,Grinnell,1,Central,1,"Pella, Iowa",True
8,2023-09-09,Buena Vista,1,Martin Luther,2,"New Ulm, Minn.",True
8,2023-09-09,Saint Mary's (Minn.),2,Simpson,1,"Indianola, Iowa",True
8,2023-09-09,St. John's,1,Loras,1,"Dubuque, Iowa",True
8,2023-09-09,Gustavus Adolphus,3,Dubuque,0,"Dubuque, Iowa",True
